GAMUDA,5.23,10921000
SIMEPROP,0.93,43707000
SUNWAY,3.47,11392000
DIALOG,2.32,14432000
SIME,2.59,12909000
SPSETIA,1.47,22311000
TM,5.99,5403000
TENAGA,11.38,2783000
MYEG,0.785,32320000
ZANTAT,0.49,51038000
PPB,15.84,1528000
KPJ,1.88,12787000
E&O,1.09,21369000
TANCO,0.845,24218000
CTOS,1.36,14727000
GCB,2.51,7238000
EUPE,1.24,14095000
FRONTKN,3.86,4469000
MRCB,0.66,25890000
TIMECOM,5.17,2994000
MISC,7.66,1946000
UEMS,1.17,12370000
CMSB,1.01,13975000
IJM,2.37,5837000
INARI,3.17,4164000
MTEC,1.07,12278000
PERTAMA,2.5,5077000
VS,0.875,13890000
VITROX,7.68,1509000
SENDAI,0.285,40201000
EKOVEST,0.49,23043000
UWC,2.93,3850000
TOPGLOV,0.8,13135000
VELESTO,0.295,35329000
PERDANA,0.32,32212000
ECONBHD,0.5,20348000
AXIATA,2.66,3814000
SSB8,0.375,26384000
NAIM,0.88,10257000
MAXIS,3.42,2413000
CYPARK,0.91,9002000
SUNCON,2.9,2811000
ARTRONIQ,0.285,28279000
MAHSING,1.23,6457000
IHH,6.08,1269000
HTPADU,1.89,4043000
NESTLE,118.1,63900
CHGP,1.57,4594000
PETGAS,18.26,394800
LAYHONG,0.41,17375000
PCHEM,6.75,1006000
SCGBHD,0.54,12506000
MUHIBAH,0.92,7284000
JTIASA,1.4,4667000
DLADY,32.5,193800
YBS,0.8,7624000
IWCITY,0.845,7123000
ICON,0.815,7329000
SIGN,1.04,5545000
PMETAL,4.69,1210000
SUCCESS,0.835,6764000
SCOMNET,1.28,4394000
BAUTO,2.4,2255000
KLK,22.58,239300
UNISEM,3.84,1405000
MRDIY,1.49,3549000
NCT,0.45,11558000
SKPRES,0.9,5722000
SHANG,2.04,2517000
ECA,0.39,13155000
PETDAG,21.8,234900
PECCA,1.36,3739000
RCECAP,2.69,1884000
HIAPTEK,0.405,12483000
PANDA,0.295,16862000
BJFOOD,0.61,7753000
HARTA,2.69,1758000
XL,0.76,6136000
PLINTAS,0.975,4783000
EDELTEQ,0.38,12249000
