ARTRONIQ:3,Ask,0.29,4392671;3,Bid,0.27,2406317;8,Ask,0.3,2362895;8,Bid,0.28,4456399
AXIATA:4,Ask,2.79,403536;4,Bid,2.58,542999;7,Ask,2.74,634471;7,Bid,2.53,358736
BAUTO:3,Ask,2.47,449133;3,Bid,2.28,285627;8,Ask,2.52,314326;8,Bid,2.33,250245
BJFOOD:5,Ask,0.64,674674;5,Bid,0.59,427371;6,Ask,0.63,996302;6,Bid,0.58,1489137
CHGP:3,Ask,1.65,331059;3,Bid,1.52,56338;8,Ask,1.62,705484;8,Bid,1.49,898557
CMSB:3,Ask,1.04,2671217;3,Bid,0.96,417878;8,Ask,1.06,384410;8,Bid,0.98,1310261
CTOS:5,Ask,1.4,2772602;5,Bid,1.29,2372784;6,Ask,1.43,989178;6,Bid,1.32,2450345
CYPARK:1,Ask,0.94,1509240;1,Bid,0.86,96942;10,Ask,0.96,1439016;10,Bid,0.88,1188562
DIALOG:4,Ask,2.39,263781;4,Bid,2.2,14319;7,Ask,2.44,1733392;7,Bid,2.25,303053
DLADY:5,Ask,33.48,440;5,Bid,30.88,26809;6,Ask,34.13,28419;6,Bid,31.53,31460
E&O:3,Ask,1.12,2796254;3,Bid,1.04,2240880;8,Ask,1.14,2464375;8,Bid,1.06,719897
ECA:1,Ask,0.41,741184;1,Bid,0.38,1287358;10,Ask,0.4,804142;10,Bid,0.37,2563300
ECONBHD:5,Ask,0.53,3114661;5,Bid,0.49,1816488;6,Ask,0.52,2633210;6,Bid,0.48,2033308
EDELTEQ:1,Ask,0.4,1776186;1,Bid,0.37,436593;10,Ask,0.39,1005301;10,Bid,0.36,1704578
EKOVEST:1,Ask,0.5,1115964;1,Bid,0.47,3213504;10,Ask,0.51,1846969;10,Bid,0.48,1394774
EUPE:4,Ask,1.3,1003468;4,Bid,1.2,700387;7,Ask,1.28,517681;7,Bid,1.18,1726312
FRONTKN:3,Ask,4.05,883911;3,Bid,3.74,104489;8,Ask,3.98,348942;8,Bid,3.67,691581
GAMUDA:1,Ask,5.39,395219;1,Bid,4.97,1200679;10,Ask,5.49,202057;10,Bid,5.07,613881
GCB:5,Ask,2.64,970087;5,Bid,2.43,227846;6,Ask,2.59,1364038;6,Bid,2.38,1002413
HARTA:4,Ask,2.82,109285;4,Bid,2.61,189137;7,Ask,2.77,107559;7,Bid,2.56,51109
HIAPTEK:4,Ask,0.42,1232455;4,Bid,0.38,695766;7,Ask,0.43,2165879;7,Bid,0.39,2470589
HTPADU:5,Ask,1.98,791667;5,Bid,1.83,485548;6,Ask,1.95,75403;6,Bid,1.8,563085
ICON:3,Ask,0.86,867287;3,Bid,0.79,1032453;8,Ask,0.84,1427187;8,Bid,0.77,1051725
IHH:5,Ask,6.26,175944;5,Bid,5.78,79930;6,Ask,6.38,199088;6,Bid,5.9,116347
IJM:4,Ask,2.44,610250;4,Bid,2.25,524376;7,Ask,2.49,31299;7,Bid,2.3,718466
INARI:5,Ask,3.27,502506;5,Bid,3.01,286658;6,Ask,3.33,250881;6,Bid,3.07,490161
IWCITY:4,Ask,0.89,807688;4,Bid,0.82,1016220;7,Ask,0.87,1399055;7,Bid,0.8,168006
